Account,NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, AverageLengthOfWordsMean,AverageLengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, AverageLengthOfPropositionsMean,AverageLengthOfPropositionsStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Class
44700,46.1010101,28.60193359,0,0,35.56565657,23.61482227,5.212121212,2.417414627,0,0,5.323232323,3.305423406,6.323232323,3.305423406,6.604747475,1.339217579,3.626262626,0.871384114,2.110505051,0.683652363,5.03030303,2.328803158,5.393939394,3.22182639,0,0,0.995454545,0.022395559,8.183838384,5.986630004,45.76575758,40.6638655,11.8689899,4.972400696,16.77676768,6.866458195,13.36686869,9.177602254,10.36838384,8.020084977,0,0,3.373737374,2.7101972,1
44800,18.32142857,5.644552187,0,0,14.19047619,4.196019061,2.357142857,1.411203954,0,0,1.773809524,0.835965232,2.773809524,0.835965232,6.634880952,1.621089797,2.178571429,1.059657562,1.690714286,0.411176551,2.357142857,1.411203954,2.202380952,0.551615849,0,0,1,0,7.204761905,7.225202333,47.28619048,51.8352579,10.58392857,6.496174885,15.6702381,9.252512912,7.982142857,8.661339948,8.261785714,10.47315379,0,0,0.827380952,0.777258796,1
44900,21.85185185,6.404302395,0,0,16.11111111,5.952486772,3.37037037,1.251610759,0,0,2.37037037,0.776895443,3.37037037,0.776895443,7.027777778,1.949332903,3.037037037,0.4287347,1.45962963,0.25738689,3.37037037,1.251610759,2.37037037,0.776895443,0,0,1,0,9.533333333,8.902725342,30.84185185,63.81551762,10.18259259,7.456883766,20.15925926,10.23694324,9.916666667,11.85732154,11.19481481,12.50252223,0,0,1.425925926,0.919980915,1
45000,26.49295775,5.538274607,0,0,20.66197183,5.107144021,3,0.503508815,0,0,2.830985915,0.556293455,3.830985915,0.556293455,7.507605634,1.40817579,2.915492958,0.36565507,1.644366197,0.242276366,3,0.503508815,2.845070423,0.596890707,0,0,1,0,11.71690141,7.006917827,16.0528169,50.27992687,14.33183099,4.368655419,19.75915493,6.811828516,15.92028169,8.178130399,13.76084507,11.27272162,0,0,1.845070423,0.807498089,1
45100,113.7916667,21.66694711,0,0,91.70833333,19.0098202,8.833333333,2.064918616,0,0,13.25,2.367312119,14.25,2.367312119,7.348333333,0.800222191,5.333333333,0.623609564,2.9275,0.444079103,7.416666667,2.059867849,13.60416667,2.447273852,0,0,0.953541667,0.067899729,11.11875,4.741292732,26.1825,33.31661838,11.37208333,2.849902746,17.42083333,4.12184012,19.22854167,5.162488091,11.62541667,5.563527418,2.833333333,4.257754364,4.15625,2.065943716,1
45200,111.6,24.11140809,0,0,90.57,19.90138437,8.44,2.878610776,0.04,0.28,12.55,2.695830113,13.55,2.695830113,7.5628,1.032728503,4.71,1.343837788,3.2744,0.82354638,7.01,2.459654447,13.05,2.586020108,0,0,0.9663,0.052281067,11.509,4.713811515,24.0124,33.81129909,12.1137,2.807631976,18.442,5.089404287,20.7236,5.795024852,12.0052,5.628520495,0.936,2.998750406,4.2025,1.460539198,1
45300,64.55,15.20287802,0,0,55.78,12.66142172,2.03,1.126543386,0.01,0.099498744,6.73,2.266517152,7.73,2.266517152,7.663,1.087545401,1.64,0.538887743,5.0067,1.395142326,1.94,1.147344761,7.87,2.431686657,0,0,0.9901,0.036999865,14.255,5.769495212,3.0777,41.37422995,14.799,3.350800352,17.612,5.34447902,21.8283,6.786659422,17.9724,9.578547919,0,0,4.2525,1.618060181,1
45400,53.26,15.10272823,0,0,46.95,13.02948579,1.57,0.667158152,0,0,4.74,1.847268253,5.74,1.847268253,8.366,1.103149129,1.53,0.555967625,4.025,1.180784908,1.08,0.365513338,5.76,1.929352223,0,0,0.9693,0.066622143,17.685,5.001927129,-21.7007,36.70201074,16.7415,2.68471167,21.775,5.404338535,26.7526,6.600447352,22.7037,8.617079047,0,0,4.68,1.581960809,1
45500,115.1904762,18.59241793,0,0,99.5,16.51586539,3.785714286,1.14508711,0,0,11.9047619,1.997731139,12.9047619,1.997731139,8.156904762,0.807180537,2.452380952,0.497727261,5.389285714,0.982139048,2.785714286,1.14508711,13.5,2.280872849,0,0,0.963095238,0.064383083,15.75952381,5.058329271,-0.630238095,33.45714384,15.02142857,2.227915502,21.28095238,4.939261469,25.83809524,5.530047894,17.5097619,7.205900191,0,0,7.80952381,3.901621124,1
45600,68.14035088,9.834487467,0,0,59.15789474,8.863070383,2.473684211,0.751729308,0,0,6.50877193,1.390731311,7.50877193,1.390731311,8.229122807,1.235241692,2.122807018,0.32821556,3.572982456,0.665200049,1.473684211,0.751729308,7.614035088,1.575630043,0,0,0.984736842,0.045733985,15.61052632,6.001861823,-4.152807018,43.35019184,14.5745614,3.387705879,21.44912281,5.563418197,26.30333333,7.033954824,16.55719298,7.874587542,0,0,5.162280702,1.5619455,1
45700,69.74509804,11.30996981,0,0,60.2745098,10.12680084,2.764705882,0.83050269,0,0,6.705882353,1.418285594,7.705882353,1.418285594,8.329019608,1.116361834,2.039215686,0.277296777,3.843137255,0.973198668,1.784313725,0.799846198,7.784313725,1.575719263,0,0,0.970196078,0.066021096,15.04901961,5.836611042,0.417058824,41.93449492,14.10098039,2.820040505,21.27843137,5.184453144,25.9372549,6.425526935,15.53470588,7.309268989,0,0,5.284313725,1.631506287,1
45800,76.7,10.78007421,0,0,66.37,9.62564803,2.38,0.987724658,0,0,7.95,1.710993863,8.95,1.710993863,7.9673,1.376678506,1.65,0.517204022,6.025,2.22091265,1.96,1.009158065,9.41,2.040073528,0,0,0.9742,0.055066868,15.936,6.289221255,-5.4774,44.92824685,13.7637,3.43197251,19.419,6.504885779,24.1878,8.130915641,18.3776,9.07314346,0,0,6.2375,2.062575756,1
45900,88.55434783,12.82013034,0,0,76.77173913,12.40888817,2.804347826,1.013379306,0,0,8.97826087,1.488932072,9.97826087,1.488932072,8.094782609,1.263003217,1.836956522,0.397742923,5.720978261,1.609977086,2.206521739,1.363643166,10.42391304,1.720930585,0,0,0.964891304,0.06386968,15.97173913,5.91130689,-4.578152174,41.01556979,14.98065217,3.888431506,20.78043478,6.678978038,25.55326087,8.2361936,19.22923913,7.169108585,0,0,7.010869565,2.640845818,1
46100,97.88461538,8.967149119,0,0,86.82692308,8.340635361,2.5,0.746787994,0,0,8.557692308,0.988656072,9.557692308,0.988656072,9.216730769,1.041003069,2,0,4.778846154,0.494328036,1.403846154,0.68667581,9.673076923,1.087006366,0,0,0.98,0.041231056,21,4.619149106,-38.45,34.14361152,17.73653846,2.182857059,27.68269231,4.70702099,34.11269231,5.672803579,23.78730769,5.436622649,0,0,8.932692308,1.562877173,1
46200,88.9,10.37737925,0,0,78.24,9.6240532,2.46,0.698856208,0,0,8.2,1.264911064,9.2,1.264911064,8.8482,0.952251416,2.08,0.271293199,4.4768,0.745129358,1.46,0.698856208,9.24,1.289340917,0,0,0.9704,0.054183392,19.452,4.861079715,-28.6922,34.70596994,17.1622,2.435278456,24.634,4.587138978,30.3818,5.845212978,23.2436,6.313600798,0,0,8.305,2.533914955,1
46300,77.23529412,14.39681097,0,0,68.30882353,13.17334358,1.75,0.811226377,0,0,7.176470588,1.247835496,8.176470588,1.247835496,8.5925,1.117151545,1.382352941,0.515335749,6.470588235,1.725420565,1.485294118,0.717279318,8.264705882,1.378593135,0,0,0.985735294,0.039827428,19.75882353,5.686057129,-33.04735294,39.96040914,17.09676471,2.933456324,22.85588235,5.77177163,28.71367647,7.182689752,24.53588235,7.929179958,0,0,7.3125,2.535546916,1
46400,74,11.96550598,0,0,64.88,11.03927534,1.986666667,0.98648647,0,0,7.133333333,1.247219129,8.133333333,1.247219129,8.3156,1.057514369,1.6,0.632455532,5.7956,2.050726857,1.573333333,0.819322213,8.186666667,1.313451771,0,0,0.9856,0.043611619,17.09333333,5.590499878,-14.2312,39.69464639,15.66946667,3.370517228,21.26,5.226318016,26.58173333,6.672594173,21.61293333,8.241262812,0,0,6.59,2.21195238,1
46500,76.34146341,9.595755556,0,0,65.7804878,8.871747965,2.634146341,0.956520563,0,0,7.926829268,1.256985242,8.926829268,1.256985242,7.900243902,1.07854348,2.097560976,0.484132518,4.536341463,1.506978492,1.829268293,0.908024901,9.170731707,1.341685126,0,0,0.991707317,0.03721411,14.37804878,5.359400776,5.812195122,37.87179834,13.6504878,3.053492164,18.9,4.795729808,23.16317073,5.94494064,17.01487805,6.802495282,0,0,5.932926829,2.279966029,1
46600,37.89285714,8.510522698,0,0,32.25,7.581109041,1.535714286,0.697724679,0,0,4.107142857,1.144530026,5.107142857,1.144530026,6.667857143,1.406431715,1.285714286,0.451753951,4.321428571,1.390107175,1.30952381,0.616753993,5.214285714,1.273086132,0,0,1,0,8.282142857,5.396894184,44.77619048,39.3995129,11.31464286,4.314692354,12.90119048,6.265599467,15.38988095,7.204773962,9.859642857,7.572674631,0,0,2.708333333,1.086191285,1
46700,34.41176471,6.212499956,0,0,29.58823529,5.594733064,1.176470588,0.381220041,0,0,3.647058824,0.836039436,4.647058824,0.836039436,6.537058824,1.260563668,1,0,4.647058824,0.836039436,1.176470588,0.381220041,4.764705882,1.00172861,0,0,1,0,7.935294118,5.396724625,46.35529412,39.3085939,12.55235294,3.105578528,12.62941176,5.789113994,15.15352941,6.612851962,8.839411765,8.216334141,0,0,2.323529412,1.028150488,1
46800,47.92771084,6.545085773,0,0,41.8313253,5.898374857,1.301204819,0.458781512,0,0,4.795180723,1.072762857,5.795180723,1.072762857,7.702891566,1.022550002,1.156626506,0.363448268,5.361445783,1.511628128,1.192771084,0.394474832,5.831325301,1.128163847,0,0,0.99626506,0.023882788,11.44337349,4.135977697,23.3946988,30.75767513,12.37,2.839496816,17.24578313,5.266610011,21.5713253,5.951630691,9.386626506,5.84500637,0,0,3.018072289,0.789409506,1
46900,47.8,9.115554472,0,0,41.8,8.059776672,1.2,0.4,0,0,4.8,1.166190379,5.8,1.166190379,7.782,0.955239586,1.2,0.4,5.2,1.568438714,1.133333333,0.339934634,5.8,1.166190379,0,0,0.980666667,0.072338709,11.59333333,5.453618574,21.832,40.32210381,11.73866667,2.611686216,16.95333333,5.774180076,21.104,6.448783658,9.35,6.691284879,0,0,2.85,0.74049533,1
47100,56.5,0.5,0,0,50.5,0.5,1,0,0,0,5,0,6,0,8.415,0.085,1,0,6,0,1,0,6,0,0,0,1,0,15.1,1.2,-2.295,8.465,15.775,1.315,22,0.4,27.975,0.495,12.4,3.33,0,0,4,0,1
47200,36.96666667,7.289185292,0,0,31.48333333,6.339010613,1.333333333,0.53748385,0,0,4.15,1.077419757,5.15,1.077419757,6.352333333,1.040750317,1.1,0.3,4.825,1.090966697,1.316666667,0.532029657,5.266666667,1.195361405,0,0,1,0,9.038333333,4.873810681,39.37716667,35.80909154,9.278833333,4.023812906,11.545,4.450296807,14.04083333,5.344103383,7.7095,5.768003532,0,0,2.4625,0.838929129,1
47300,42.16981132,6.160543498,0,0,34.75471698,5.190359934,2.377358491,1.430482371,0,0,5.037735849,0.97055254,6.037735849,0.97055254,6.340188679,1.014458663,1.981132075,1.352713081,4.452830189,1.889055247,2.358490566,1.402078506,5.924528302,1.146760106,0,0,0.996226415,0.027211708,8.250943396,3.696434929,45.89358491,27.33247036,9.461698113,2.919471221,12.10566038,4.305828218,14.05830189,4.640624444,7.435849057,4.425628378,0,0,2.797169811,0.772548777,1
47400,36.57575758,6.262104898,0,0,30.27272727,5.774933961,1.939393939,1.071373911,0,0,4.363636364,1.039177467,5.363636364,1.039177467,6.06030303,0.918831553,1.575757576,1.07394213,4.477272727,1.585162782,1.939393939,1.071373911,5.333333333,1.271283452,0,0,0.992424242,0.042854956,6.606060606,3.362353018,56.82545455,24.84853585,10.31909091,2.641951028,10.89393939,4.035144051,12.34212121,4.514046601,5.814545455,4.232738272,0,0,2.181818182,0.561628879,1
47500,42,5.259911279,0,0,35.5,4.573474245,1.666666667,0.471404521,0,0,4.833333333,0.687184271,5.833333333,0.687184271,6.485,0.807996493,1.333333333,0.471404521,4.833333333,1.462494065,1.666666667,0.471404521,5.833333333,0.687184271,0,0,0.958333333,0.093169499,7.35,2.904450608,51.96333333,23.06318977,9.803333333,3.486634799,11.4,3.537890143,13.71666667,3.781047768,10.19666667,5.568556565,0,0,2.583333333,0.533593686,1
47600,43.5375,6.559237284,0,0,38.425,5.968196964,1.025,0.15612495,0,0,4.0875,0.793626959,5.0875,0.793626959,7.61675,0.894643469,1,0,5.0875,0.793626959,1.025,0.15612495,5.1,0.830662386,0,0,1,0,12.59625,4.11832623,13.85725,29.69365593,18.0055,2.334785268,17.89375,4.216050988,22.318625,5.114043103,16.649125,7.47247586,0,0,3.53125,1.046851679,1
47700,38.95,5.847862857,0,0,34.3,5.35817133,1.025,0.15612495,0,0,3.625,0.695970545,4.625,0.695970545,7.48675,0.811502888,1,0,4.625,0.695970545,1.025,0.15612495,4.625,0.695970545,0,0,1,0,12.21,4.561293676,15.808,32.71200362,18.0475,2.164438438,17.045,3.902752234,20.8715,4.766450225,15.85,8.187303891,0,0,2.9625,0.931312917,1
47800,38.34,6.433070806,0,0,33.66,5.914761196,1.26,0.482078832,0,0,3.42,0.666033032,4.42,0.666033032,7.6744,0.874739184,1,0,4.42,0.666033032,1.26,0.482078832,4.44,0.697423831,0,0,1,0,12.524,4.820189208,13.181,34.45358978,18.2334,2.564003596,18.096,4.126837045,21.6008,5.190329022,16.7678,8.294451951,0,0,3.05,1.338842784,1
47900,48.94680851,6.606520025,0,0,41.10638298,5.968834102,4.138297872,0.402150174,0,0,3.70212766,0.665722887,4.70212766,0.665722887,9.129361702,0.942872262,1,0,4.70212766,0.665722887,4.138297872,0.402150174,5.765957447,0.804581719,0,0,1,0,12.88723404,4.293419855,11.08106383,30.95268312,24.81159574,2.605449813,26.51170213,4.641415237,28.72351064,5.394584303,16.77553191,7.290012786,0,0,3.117021277,0.84244304,1
48000,40.7755102,7.423804256,0,0,35.2244898,6.715092067,1.612244898,0.887931017,0,0,3.93877551,0.956357103,4.93877551,0.956357103,7.557653061,1.48661017,1.12244898,0.327803641,4.653061224,1.254396683,1.489795918,0.848105908,5.234693878,1.176305357,0,0,0.998571429,0.014069797,11.41020408,7.326308336,22.08959184,53.17600205,13.40071429,5.098279071,16.93061224,6.905933683,20.1955102,7.911969378,14.09816327,9.286123985,0,0,2.928571429,1.007623999,1
48100,58.79,14.76299089,0,0,49.5,12.47116675,2.92,1.246434916,0.01,0.099498744,6.36,2.095328137,7.36,2.095328137,7.3112,1.222226886,2.26,0.687313611,3.4482,1.015435256,2.04,1.112834219,7.6,2.144761059,0,0,0.9941,0.034441109,9.496,5.241047987,37.7752,37.92616868,12.4135,3.492500358,16.013,5.442382842,18.8541,6.315056309,11.2678,7.205253719,0,0,3.52,1.738778307,1
48200,95.95,25.26197736,0,0,78.99,21.04685012,5.8,2.638181192,0.08,0.503587132,11.08,3.217701043,12.08,3.217701043,7.2663,1.032753267,3.85,1.299038106,3.4559,0.862904508,4.25,2.33826859,11.77,3.07848989,0,0,0.9889,0.030818663,9.154,4.950099393,41.7726,34.42952676,13.2358,2.620706844,16.799,4.634921682,19.4639,6.092987756,11.3407,6.186827985,0.109,0.832237346,4.425,2.119859193,1
48300,125.2020202,14.08773361,0,0,102.3434343,12.59722722,8.565656566,1.596470958,0,0,14.29292929,2.137933134,15.29292929,2.137933134,7.76030303,0.975684639,5,0.619546918,3.323232323,0.554162993,7.242424242,1.820705319,14.65656566,2.374790224,0,0,0.956969697,0.067844959,11.28989899,3.730585974,27.58222222,26.29166617,12.63868687,2.270856042,19.38787879,4.435605996,22.11161616,5.081561779,12.12585859,5.096049769,0.586868687,2.170679104,5.043737374,2.209283254,1
48400,85.47,31.04269801,0,0,67.69,27.86205125,8.14,1.326800663,0,0,9.64,3.245057781,10.64,3.245057781,7.2836,1.226572884,4.58,0.493558507,2.5825,0.617510121,7.31,1.286040435,9.72,3.337903534,0,0,0.9784,0.050014398,10.956,4.858072046,28.8538,33.81515745,10.4379,3.007222404,19.186,5.706890922,19.796,7.338275683,10.9362,5.427131614,0,0,4.445,1.997992743,1
48500,87.04,21.1551034,0,0,69.62,18.83283303,7.81,1.514562643,0,0,9.61,2.412032338,10.61,2.412032338,7.6943,0.994402589,4.6,0.489897949,2.579,0.505033662,7.02,1.442081828,9.68,2.477418011,0,0,0.9822,0.045860222,12.082,4.572622442,21.3439,31.78731737,11.6963,2.430778334,20.411,5.032075019,21.6211,6.203705327,12.0268,5.097522316,0,0,4.8725,2.231449921,1
48600,101.5744681,12.1633294,0,0,81.12765957,11.05040102,8.361702128,1.809261421,0,0,12.08510638,1.673698761,13.08510638,1.673698761,7.111914894,0.969238873,4.872340426,0.443248227,2.949680851,0.34454241,7.606382979,1.739516227,12.15957447,1.709194108,0,0,0.976914894,0.047221222,10.45638298,3.768276273,32.54170213,25.79900904,11.22702128,2.513244419,17.22765957,4.931475207,18.89702128,5.655500397,10.73925532,4.498094452,0.244680851,1.35902163,4.378510638,2.020774529,1
48700,76.21649485,16.67285392,0,0,59.20618557,14.25825002,7.24742268,1.2271073,0,0,9.762886598,1.930617101,10.7628866,1.930617101,6.301134021,0.895165568,4.927835052,0.258760833,2.525773196,0.332059599,6.917525773,0.980953703,9.81443299,1.949516974,0,0,0.98556701,0.038152409,7.995876289,3.899059298,47.17113402,28.13558798,9.47443299,2.469323113,13.33608247,4.157248931,13.42329897,4.955934633,8.687731959,4.774802528,0,0,2.853092784,1.110373171,1
48800,84.04166667,11.86432269,0,0,67.22222222,10.57673314,7.069444444,1.194040629,0,0,9.75,1.309686137,10.75,1.309686137,6.991388889,0.751049831,4.125,0.330718914,3.113888889,0.421078495,7.069444444,1.194040629,10.22222222,1.547598697,0,0,0.98125,0.040309135,12.43888889,3.892534006,22.30319444,26.86277638,15.31791667,3.336448102,19.20416667,4.192202997,20.77763889,5.16461451,14.75597222,6.152827412,0,0,7.069444444,2.567566882,1
48900,99.96,7.758762788,0,0,82.1,6.943342135,7.73,1.333079142,0,0,10.13,1.254232833,11.13,1.254232833,8.1024,0.902386968,2.73,0.978314878,4.7275,1.342616382,7.06,1.325292421,11.68,1.318180564,0,0,0.9846,0.037534517,15.057,3.710613292,6.3233,27.79049384,17.9424,2.845111639,23.626,4.153206472,26.0829,4.911247152,18.1684,6.425382747,0,0,8.715,1.797574755,1
49000,65.10144928,14.98515684,0,0,53.50724638,13.01796216,4.797101449,1.04367953,0,0,6.797101449,1.460392147,7.797101449,1.460392147,7.332753623,0.928561119,2,0,3.898550725,0.730196073,3.797101449,1.04367953,7.985507246,1.748645469,0,0,1,0,9.402898551,4.117793521,41.61550725,28.97255741,11.90246377,3.49486348,17.72463768,4.868872018,20.04811594,5.817604038,14.22275362,5.097501771,0,0,5.15942029,1.649533868,1
49100,54.89473684,9.838135985,0,0,45.28421053,8.239395938,3.389473684,1.242194466,0,0,6.221052632,1.249664775,7.221052632,1.249664775,6.886631579,1.021794717,2.031578947,0.227231928,3.594631579,0.746965525,2.389473684,1.242194466,7.305263158,1.298368889,0,0,0.986,0.050207988,7.891578947,4.620427484,51.23063158,33.91474863,10.81894737,2.705145379,14.24736842,5.099697454,16.68421053,5.855746539,10.80389474,6.321087397,0,0,3.994736842,1.233831723,1
49200,50.5,6.680194608,0,0,42,6.354132514,2.4375,0.609174647,0,0,6.0625,0.747391296,7.0625,0.747391296,6.5975,0.969416706,2.0625,0.242061459,3.448125,0.406651244,1.4375,0.609174647,7.125,0.856956825,0,0,0.930625,0.090032546,7.69375,4.586320523,52.675625,33.49472365,9.205625,3.419919533,11.90625,4.092747969,14.609375,5.139761022,8.31625,5.074180814,0,0,3.65625,1.026504232,1
49300,50.71428571,6.765760135,0,0,42.47619048,6.219164296,2.428571429,0.622699849,0,0,5.80952381,1.005652956,6.80952381,1.005652956,7.021190476,1.074133543,1.976190476,0.152455339,3.476190476,0.63576333,1.428571429,0.622699849,6.857142857,1.081696828,0,0,0.96,0.077182529,8.25952381,3.617422097,48.04880952,26.62749843,9.707857143,2.714578399,13.40238095,4.263549164,16.29047619,5.137770478,9.8,4.900333808,0,0,3.738095238,0.971241812,1
49400,51.14864865,10.02521474,0,0,42.90540541,8.802900196,2.459459459,0.573966502,0,0,5.783783784,1.445124798,6.783783784,1.445124798,6.963783784,1.089044588,1.986486486,0.11545951,3.412162162,0.689487217,1.459459459,0.573966502,6.824324324,1.491943301,0,0,0.966621622,0.073084125,8.631081081,4.350238443,45.26986486,31.87473139,10.18878378,2.64314,13.91891892,4.392582066,16.73702703,5.169753178,9.309054054,5.621316372,0,0,3.662162162,1.194322459,1
49500,45.56140351,7.779905614,0,0,38.26315789,6.830083906,2.333333333,0.471404521,0,0,4.964912281,1.123355129,5.964912281,1.123355129,6.981929825,0.945959902,2,0,2.98245614,0.561677565,1.333333333,0.471404521,5.98245614,1.131544947,0,0,0.947017544,0.093788955,8.252631579,4.535439601,46.57263158,33.38238455,10.27982456,3.025248426,14.00350877,4.149020807,16.65807018,4.88490099,9.627192982,5.842322824,0,0,3.175438596,0.966505861,1
49600,46.1627907,7.504820877,0,0,38.93023256,7.016244768,2.395348837,0.615291003,0,0,4.837209302,0.986660625,5.837209302,0.986660625,7.359534884,1.455074446,1.976744186,0.1507149,2.953488372,0.442166357,1.395348837,0.615291003,5.860465116,1.001891127,0,0,0.931627907,0.093608046,9.909302326,5.33395503,34.4655814,38.74267398,11.10162791,3.523771718,15.37209302,5.479361938,18.15418605,6.531142296,11.99418605,6.479794439,0,0,3.453488372,1.055516811,1
49700,49.34693878,9.536291626,0,0,42.10204082,9.075072155,2.357142857,0.593330276,0,0,4.887755102,0.978155835,5.887755102,0.978155835,7.802857143,1.452486257,1.979591837,0.141391903,3,0.610285982,1.367346939,0.578311319,5.887755102,0.978155835,0,0,0.949591837,0.098020389,12.66326531,5.860563248,14.8244898,42.44207457,12.48010204,3.544633914,17.45204082,6.684145567,20.89020408,8.327079256,13.93010204,8.147113611,0,0,3.801020408,1.211635334,1
49800,53.17948718,9.766168172,0,0,45.94871795,9.29832827,2.282051282,0.503766223,0,0,4.948717949,0.904368825,5.948717949,0.904368825,8.086410256,1.34521276,2,0,2.974358974,0.452184413,1.282051282,0.503766223,5.974358974,0.946983862,0,0,0.976923077,0.068730385,14.42051282,6.505665361,2.309487179,47.2166609,13.43307692,3.75604071,20.03076923,6.643336891,24.22923077,8.258186113,14.61179487,8.15316892,0,0,3.974358974,1.310454599,1
49900,61.73,8.299222855,0,0,53.83,7.699422056,2.14,0.346987031,0,0,5.76,0.873155198,6.76,0.873155198,8.1253,1.030809832,2,0,3.38,0.436577599,1.05,0.217944947,6.76,0.873155198,0,0,1,0,14.392,4.87800533,3.9539,35.30753965,15.5658,2.595923027,21.225,4.927339546,26.2125,5.861725066,15.3781,6.278762728,0,0,4.68,1.145687566,1
50000,75.52380952,6.207668434,0,0,65.57142857,5.490870593,2.523809524,0.499432785,0,0,7.428571429,0.849169262,8.428571429,0.849169262,7.926190476,0.705302881,2,0,4.214285714,0.424584631,1,0,8.428571429,0.849169262,0,0,0.978571429,0.044216536,14.4,4.043218897,6.921904762,29.8214371,15.16571429,2.013009052,21.08571429,3.400040016,26.03333333,4.187072319,14.80809524,4.645255254,0,0,5.738095238,1.201378649,1
50200,57.18604651,8.270867377,0,0,49.93023256,7.226872812,1.534883721,0.60420377,0,0,5.720930233,1.106546721,6.720930233,1.106546721,7.582325581,0.902771797,1,0,6.720930233,1.106546721,1.534883721,0.60420377,6.720930233,1.106546721,0,0,0.998604651,0.012864481,12.01046512,4.068284281,20.9755814,29.86006147,15.48069767,2.391339408,18.3872093,4.14397283,23.22186047,4.933947312,14.89081395,6.713698114,0,0,4.639534884,1.235735265,1
50300,58.43478261,8.621641561,0,0,50.54347826,7.657637625,2.043478261,0.883582671,0,0,5.847826087,0.977294208,6.847826087,0.977294208,7.489347826,0.993359259,1.260869565,0.486101734,6.018043478,1.788878225,1.804347826,0.710773162,6.847826087,0.977294208,0,0,0.991956522,0.030618236,11.11521739,3.851705855,27.55869565,27.99610801,15.45043478,3.119356787,18.44347826,4.741108482,22.90891304,5.56091337,12.74347826,6.327129034,0,0,4.423913043,1.242225349,1
50400,66.51,9.014981974,0,0,56.85,8.179700484,2.91,0.491833305,0,0,6.75,1.366565037,7.75,1.366565037,7.6005,0.955694904,2.06,0.310483494,3.8667,1.198688496,2,0.374165739,7.77,1.355396621,0,0,0.9931,0.030354407,11.271,4.345441174,26.9345,31.61845551,14.7966,2.668548752,18.965,4.736821191,22.9316,5.629865135,12.6463,5.676481596,0,0,4.4175,1.288921545,1
50500,80.64,9.210342013,0,0,68.73,8.180287281,2.82,1.366601624,0,0,9.09,1.05919781,10.09,1.05919781,6.9916,0.674976622,1.2,0.4,9.045,2.154176177,2.8,1.36381817,10.14,1.077218641,0,0,0.999,0.009949874,11.322,3.093043162,30.3727,22.0413764,16.0023,1.88660746,16.702,3.279420071,20.4249,3.935934322,12.3854,4.56028232,0,0,5.73,1.746310396,1
50600,93.10769231,11.27437268,0,0,78.69230769,10.24157902,3.723076923,1.196246595,0,0,10.69230769,1.357861179,11.69230769,1.357861179,6.945692308,0.731213889,1.430769231,0.700971431,9.535846154,3.03697972,3.538461538,1.241301093,11.76923077,1.422557078,0,0,0.993692308,0.021878632,11.44923077,2.986952297,31.10507692,21.80384476,15.66830769,2.725163972,16.98,3.337534788,20.23676923,3.911172206,12.95476923,4.245206929,0,0,6.469230769,2.056185645,1
50700,101.42,13.48790569,0,0,85.5,11.92853721,3.96,1.057544325,0,0,11.96,1.816149774,12.96,1.816149774,7.026,0.757559239,2.26,0.438634244,5.8968,1.197078009,2.96,1.057544325,12.99,1.841168107,0,0,0.9754,0.037958398,11.951,2.853646614,29.3885,20.91170526,14.1717,2.997765853,16.933,3.236419472,19.8152,3.9029116,12.0046,4.696098044,0,0,7.295,2.857529527,1
50800,94.38,12.73167703,0,0,79.81,10.97423801,3.46,1.169786305,0,0,11.11,1.731444484,12.11,1.731444484,7.0379,0.813227268,2.06,0.506359556,6.2248,1.773705996,2.58,1.087933822,12.12,1.745164749,0,0,0.9829,0.033385476,12.049,3.205136347,28.1392,23.52641986,14.229,3.013985236,16.691,3.585138631,19.8545,4.437086967,11.8352,4.511800191,0,0,6.94,2.283943957,1
50900,81.56,18.30318005,0,0,69.55,16.20948796,2.14,0.90575935,0,0,9.87,2.480544295,10.87,2.480544295,6.9047,0.889420547,1.2,0.509901951,10.2701,3.391741881,2.1,0.932737905,10.82,2.589903473,0,0,0.9962,0.018696524,11.085,3.729943029,34.5067,27.74134402,13.2546,3.63233738,15.567,3.889731482,18.8896,5.112415656,11.6015,5.524848844,0,0,6.4525,2.009880283,1
